Student_ID,Student_Name,Parent_Email,Parent_Phone,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Total_Classes,Total_Attended,Attendance_Percentage
SC040,Krishna Rao,krishnarao_parent@gmail.com,9697890048,16,11,6,17,20,11,120,81,67.5
SC041,Sneha Reddy,snehareddy_parent@gmail.com,9917563668,8,8,17,12,19,9,120,73,60.83
SC042,Pooja Reddy,poojareddy_parent@gmail.com,9126052020,19,5,18,10,3,20,120,75,62.5
SC043,Aryan Sharma,aryansharma_parent@gmail.com,9224522896,18,4,10,14,19,17,120,82,68.33
SC044,Vihaan Gupta,vihaangupta_parent@gmail.com,9318377240,16,8,0,11,18,8,120,61,50.83
SC045,Diya Singh,diyasingh_parent@gmail.com,9876064603,11,2,14,7,3,13,120,50,41.67
SC046,Rohan Reddy,rohanreddy_parent@gmail.com,9607521286,16,3,2,2,18,5,120,46,38.33
SC047,Diya Singh,diyasingh_parent@gmail.com,9715741221,17,16,13,4,19,11,120,80,66.67
SC048,Meera Singh,meerasingh_parent@gmail.com,9735668304,9,19,15,12,19,2,120,76,63.33
SC049,Sneha Patel,snehapatel_parent@gmail.com,9499433909,4,7,0,10,6,11,120,38,31.67
SC050,Aditya Gupta,adityagupta_parent@gmail.com,9822647878,15,15,7,17,12,9,120,75,62.5
SC051,Vihaan Gupta,vihaangupta_parent@gmail.com,9810482624,8,2,0,0,20,17,120,47,39.17
SC052,Krishna Gupta,krishnagupta_parent@gmail.com,9389302531,7,15,14,10,3,17,120,66,55.0
SC053,Pooja Iyer,poojaiyer_parent@gmail.com,9124353443,16,3,9,17,7,20,120,72,60.0
SC054,Krishna Rao,krishnarao_parent@gmail.com,9787698933,0,4,4,6,13,11,120,38,31.67
SC055,Rahul Patel,rahulpatel_parent@gmail.com,9622893319,13,5,1,9,4,3,120,35,29.17
SC056,Aryan Gupta,aryangupta_parent@gmail.com,9061675225,8,8,5,15,14,17,120,67,55.83
SC057,Arjun Iyer,arjuniyer_parent@gmail.com,9969535019,8,2,5,4,9,11,120,39,32.5
SC058,Vivaan Verma,vivaanverma_parent@gmail.com,9895943485,19,1,10,9,9,17,120,65,54.17
SC059,Meera Iyer,meeraiyer_parent@gmail.com,9197205456,12,3,19,5,4,6,120,49,40.83
SC060,Sneha Verma,snehaverma_parent@gmail.com,9478772645,17,16,2,14,8,18,120,75,62.5
