Student_ID,Student_Name,Parent_Email,Parent_Phone,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Total_Classes,Total_Attended,Attendance_Percentage
SA037,Aryan Patel,aryanpatel_parent@gmail.com,9400677463,9,14,15,9,16,17,120,80,66.67
SA038,Rohan Gupta,rohangupta_parent@gmail.com,9115256582,11,10,0,15,8,5,120,49,40.83
SA039,Aditi Gupta,aditigupta_parent@gmail.com,9522408445,11,3,10,4,13,11,120,52,43.33
SA040,Aditya Verma,adityaverma_parent@gmail.com,9462237172,2,2,0,4,8,7,120,23,19.17
SA041,Nisha Gupta,nishagupta_parent@gmail.com,9999064314,5,15,8,16,7,19,120,70,58.33
SA042,Diya Nair,diyanair_parent@gmail.com,9576257970,16,19,1,19,20,14,120,89,74.17
SA043,Saanvi Sharma,saanvisharma_parent@gmail.com,9904714203,9,1,19,20,0,15,120,64,53.33
SA044,Krishna Verma,krishnaverma_parent@gmail.com,9884860218,8,1,16,1,1,7,120,34,28.33
SA045,Arjun Verma,arjunverma_parent@gmail.com,9738893142,1,9,11,9,15,15,120,60,50.0
SA046,Aditi Sharma,aditisharma_parent@gmail.com,9009656392,20,12,4,3,1,16,120,56,46.67
SA047,Sneha Reddy,snehareddy_parent@gmail.com,9164982545,20,10,10,12,1,15,120,68,56.67
SA048,Aditi Gupta,aditigupta_parent@gmail.com,9377389281,20,10,17,7,10,10,120,74,61.67
SA049,Saanvi Rao,saanvirao_parent@gmail.com,9818301173,16,12,15,3,20,15,120,81,67.5
SA050,Meera Singh,meerasingh_parent@gmail.com,9470022024,13,4,11,14,13,8,120,63,52.5
SA051,Saanvi Verma,saanviverma_parent@gmail.com,9798592974,10,18,12,1,7,13,120,61,50.83
SA052,Arjun Iyer,arjuniyer_parent@gmail.com,9351773760,14,5,4,12,18,5,120,58,48.33
SA053,Nisha Gupta,nishagupta_parent@gmail.com,9588441575,8,0,1,0,17,10,120,36,30.0
SA054,Vihaan Patel,vihaanpatel_parent@gmail.com,9948466105,1,16,17,10,20,5,120,69,57.5
SA055,Nisha Reddy,nishareddy_parent@gmail.com,9400172618,5,9,6,17,2,9,120,48,40.0
SA056,Rahul Gupta,rahulgupta_parent@gmail.com,9820511500,11,12,9,7,8,11,120,58,48.33
SA057,Aditi Sharma,aditisharma_parent@gmail.com,9826470597,12,0,16,4,12,12,120,56,46.67
SA058,Nisha Patel,nishapatel_parent@gmail.com,9556835936,18,4,11,16,2,19,120,70,58.33
SA059,Aditya Sharma,adityasharma_parent@gmail.com,9036393427,11,8,15,14,13,13,120,74,61.67
SA060,Kavya Iyer,kavyaiyer_parent@gmail.com,9613317731,15,9,8,20,4,7,120,63,52.5
